,id,zipcode,season,price,price_median,price_sale,% de lucro,lucro
0,7129300520,98178,autumn,221900.0,290500.0,288470.0,+30%,66570.0
1,2976800796,98178,autumn,236000.0,290500.0,306800.0,+30%,70800.0
2,1180003090,98178,autumn,190000.0,290500.0,247000.0,+30%,57000.0
3,2171400197,98178,autumn,350000.0,290500.0,385000.0,+10%,35000.0
4,1180002378,98178,autumn,299000.0,290500.0,328900.0,+10%,29900.0
5,1180500070,98178,autumn,335000.0,290500.0,368500.0,+10%,33500.0
6,179000350,98178,autumn,194000.0,290500.0,252200.0,+30%,58200.0
7,3810000202,98178,autumn,251700.0,290500.0,327210.0,+30%,75510.0
8,4058802105,98178,autumn,150000.0,290500.0,195000.0,+30%,45000.0
9,7878400135,98178,autumn,355000.0,290500.0,390500.0,+10%,35500.0
10,7887200390,98178,autumn,294000.0,290500.0,323400.0,+10%,29400.0
11,179003055,98178,autumn,210000.0,290500.0,273000.0,+30%,63000.0
12,8073000495,98178,autumn,700000.0,290500.0,770000.0,+10%,70000.0
13,7813200115,98178,autumn,100000.0,290500.0,130000.0,+30%,30000.0
14,4058801240,98178,autumn,330000.0,290500.0,363000.0,+10%,33000.0
15,3352402250,98178,autumn,119900.0,290500.0,155870.0,+30%,35970.0
16,399000195,98178,autumn,200000.0,290500.0,260000.0,+30%,60000.0
17,8073000265,98178,autumn,360000.0,290500.0,396000.0,+10%,36000.0
18,1180500100,98178,autumn,353000.0,290500.0,388300.0,+10%,35300.0
19,185000161,98178,autumn,261000.0,290500.0,339300.0,+30%,78300.0
20,4058801310,98178,autumn,287000.0,290500.0,373100.0,+30%,86100.0
21,8068000305,98178,autumn,241000.0,290500.0,313300.0,+30%,72300.0
22,3810000480,98178,autumn,350000.0,290500.0,385000.0,+10%,35000.0
23,3878900185,98178,autumn,303100.0,290500.0,333410.0,+10%,30310.0
24,4058200630,98178,autumn,353000.0,290500.0,388300.0,+10%,35300.0
25,3810000455,98178,autumn,340000.0,290500.0,374000.0,+10%,34000.0
26,4058200985,98178,autumn,472000.0,290500.0,519200.0,+10%,47200.0
27,7812800865,98178,autumn,170000.0,290500.0,221000.0,+30%,51000.0
28,7657600195,98178,autumn,199950.0,290500.0,259935.0,+30%,59985.0
29,1180000625,98178,autumn,315000.0,290500.0,346500.0,+10%,31500.0
30,9218400088,98178,autumn,495000.0,290500.0,544500.0,+10%,49500.0
31,2520900301,98178,autumn,239300.0,290500.0,311090.0,+30%,71790.0
32,7812800515,98178,autumn,159075.0,290500.0,206797.5,+30%,47722.5
33,7689600650,98178,autumn,323500.0,290500.0,355850.0,+10%,32350.0
34,372000040,98178,autumn,304000.0,290500.0,334400.0,+10%,30400.0
35,179001425,98178,autumn,230000.0,290500.0,299000.0,+30%,69000.0
36,2976800115,98178,autumn,349170.0,290500.0,384087.0,+10%,34917.0
37,7812800775,98178,autumn,264250.0,290500.0,343525.0,+30%,79275.0
38,4059400265,98178,autumn,339950.0,290500.0,373945.0,+10%,33995.0
39,7390400026,98178,autumn,315000.0,290500.0,346500.0,+10%,31500.0
40,179000505,98178,autumn,257000.0,290500.0,334100.0,+30%,77100.0
41,1180000885,98178,autumn,340500.0,290500.0,374550.0,+10%,34050.0
42,1180002735,98178,autumn,269000.0,290500.0,349700.0,+30%,80700.0
43,4279900140,98178,autumn,251000.0,290500.0,326300.0,+30%,75300.0
44,3352401090,98178,autumn,238950.0,290500.0,310635.0,+30%,71685.0
45,2144800311,98178,autumn,315000.0,290500.0,346500.0,+10%,31500.0
46,1180002470,98178,autumn,354000.0,290500.0,389400.0,+10%,35400.0
47,7192200040,98178,autumn,280000.0,290500.0,364000.0,+30%,84000.0
48,1262700040,98178,autumn,363500.0,290500.0,399850.0,+10%,36350.0
49,2976800749,98178,autumn,150000.0,290500.0,195000.0,+30%,45000.0
50,7812800995,98178,autumn,200000.0,290500.0,260000.0,+30%,60000.0
51,4059400515,98178,autumn,229950.0,290500.0,298935.0,+30%,68985.0
52,4058200040,98178,autumn,361000.0,290500.0,397100.0,+10%,36100.0
53,5476800201,98178,autumn,295000.0,290500.0,324500.0,+10%,29500.0
54,7812801590,98178,autumn,219900.0,290500.0,285870.0,+30%,65970.0
55,3352400351,98178,autumn,200000.0,290500.0,260000.0,+30%,60000.0
56,7812801850,98178,autumn,194000.0,290500.0,252200.0,+30%,58200.0
57,4060000020,98178,autumn,299980.0,290500.0,329978.0,+10%,29998.0
58,7657600005,98178,autumn,249950.0,290500.0,324935.0,+30%,74985.0
59,1180008370,98178,autumn,415000.0,290500.0,456500.0,+10%,41500.0
60,4058802335,98178,autumn,326000.0,290500.0,358600.0,+10%,32600.0
61,2045800006,98178,autumn,439000.0,290500.0,482900.0,+10%,43900.0
62,2171400199,98178,autumn,277554.0,290500.0,360820.2,+30%,83266.20000000001
63,7689600630,98178,autumn,216500.0,290500.0,281450.0,+30%,64950.0
64,4059400190,98178,autumn,225000.0,290500.0,292500.0,+30%,67500.0
65,3352401476,98178,autumn,199988.0,290500.0,259984.4,+30%,59996.399999999994
66,7657000540,98178,autumn,165000.0,290500.0,214500.0,+30%,49500.0
67,7689600215,98178,autumn,202500.0,290500.0,263250.0,+30%,60750.0
68,3352400661,98178,autumn,135900.0,290500.0,176670.0,+30%,40770.0
69,9282801030,98178,autumn,440000.0,290500.0,484000.0,+10%,44000.0
70,1180000830,98178,autumn,460000.0,290500.0,506000.0,+10%,46000.0
71,2172000890,98178,autumn,385000.0,290500.0,423500.0,+10%,38500.0
72,179001455,98178,autumn,445000.0,290500.0,489500.0,+10%,44500.0
73,7813500040,98178,autumn,335000.0,290500.0,368500.0,+10%,33500.0
74,4140940130,98178,autumn,450000.0,290500.0,495000.0,+10%,45000.0
75,4140940150,98178,autumn,572000.0,290500.0,629200.0,+10%,57200.0
76,6414100192,98125,winter,538000.0,430000.0,591800.0,+10%,53800.0
77,2826049234,98125,winter,425000.0,430000.0,552500.0,+30%,127500.0
78,8820903380,98125,winter,730000.0,430000.0,803000.0,+10%,73000.0
79,1455100116,98125,winter,397500.0,430000.0,516750.0,+30%,119250.0
80,1455600030,98125,winter,645000.0,430000.0,709500.0,+10%,64500.0
81,9421500070,98125,winter,528000.0,430000.0,580800.0,+10%,52800.0
82,4427100030,98125,winter,332500.0,430000.0,432250.0,+30%,99750.0
