,id,zipcode,price,price_median,condition,waterfront,status
0,7129300520,98178,221900.0,278277.0,3,0,Não compra
1,4060000240,98178,205425.0,278277.0,4,0,Não compra
2,4058801670,98178,445000.0,278277.0,3,0,Não compra
3,2976800796,98178,236000.0,278277.0,3,0,Não compra
4,6874200960,98178,170000.0,278277.0,3,0,Não compra
5,4268200055,98178,245000.0,278277.0,3,0,Não compra
6,3969300030,98178,165000.0,278277.0,3,0,Não compra
7,3969300030,98178,239900.0,278277.0,3,0,Não compra
8,1678400105,98178,339000.0,278277.0,3,0,Não compra
9,2172000075,98178,290900.0,278277.0,3,0,Não compra
10,1180003090,98178,190000.0,278277.0,3,0,Não compra
11,561000075,98178,260000.0,278277.0,4,0,Não compra
12,1123049053,98178,360000.0,278277.0,3,0,Não compra
13,7812800565,98178,289500.0,278277.0,4,0,Não compra
14,3348401740,98178,188000.0,278277.0,3,0,Não compra
15,2171400197,98178,350000.0,278277.0,3,0,Não compra
16,5476200160,98178,164808.0,278277.0,3,0,Não compra
17,9368700223,98178,310000.0,278277.0,5,0,Não compra
18,7567600045,98178,825000.0,278277.0,4,1,Não compra
19,2171400126,98178,269000.0,278277.0,3,0,Não compra
20,3352402236,98178,252500.0,278277.0,5,0,Não compra
21,8069000075,98178,790000.0,278277.0,3,1,Não compra
22,7812800310,98178,260000.0,278277.0,3,0,Não compra
23,2171400218,98178,245000.0,278277.0,3,0,Não compra
24,8073000550,98178,1700000.0,278277.0,3,1,Não compra
25,4058800830,98178,612000.0,278277.0,3,0,Não compra
26,9368700341,98178,285000.0,278277.0,5,0,Não compra
27,1180002378,98178,299000.0,278277.0,3,0,Não compra
28,185000118,98178,212000.0,278277.0,5,0,Não compra
29,3810000860,98178,240000.0,278277.0,3,0,Não compra
30,3810000565,98178,255000.0,278277.0,3,0,Não compra
31,1180500070,98178,335000.0,278277.0,3,0,Não compra
32,179000350,98178,194000.0,278277.0,3,0,Não compra
33,3810000202,98178,251700.0,278277.0,3,0,Não compra
34,4058802105,98178,150000.0,278277.0,3,0,Não compra
35,2976800550,98178,280005.0,278277.0,3,0,Não compra
36,3810000465,98178,243000.0,278277.0,4,0,Não compra
37,7129300400,98178,400000.0,278277.0,3,0,Não compra
38,7878400135,98178,355000.0,278277.0,3,0,Não compra
39,7887200390,98178,294000.0,278277.0,3,0,Não compra
40,179003055,98178,210000.0,278277.0,3,0,Não compra
41,3352400004,98178,184500.0,278277.0,3,0,Não compra
42,3352401981,98178,199000.0,278277.0,3,0,Não compra
43,393000045,98178,415000.0,278277.0,3,0,Não compra
44,2144800215,98178,285000.0,278277.0,4,0,Não compra
45,5476200123,98178,200000.0,278277.0,3,0,Não compra
46,8073000495,98178,700000.0,278277.0,3,1,Não compra
47,3800008,98178,178000.0,278277.0,3,0,Não compra
48,2172000750,98178,160000.0,278277.0,3,0,Não compra
49,7813200115,98178,100000.0,278277.0,3,0,Não compra
50,4058801240,98178,330000.0,278277.0,4,0,Não compra
51,9282801720,98178,355000.0,278277.0,4,0,Não compra
52,3352402250,98178,119900.0,278277.0,3,0,Não compra
53,7657000165,98178,200000.0,278277.0,3,0,Não compra
54,561000300,98178,345100.0,278277.0,3,0,Não compra
55,399000195,98178,200000.0,278277.0,3,0,Não compra
56,3348401584,98178,210000.0,278277.0,3,0,Não compra
57,1159100100,98178,359950.0,278277.0,4,0,Não compra
58,8073000265,98178,360000.0,278277.0,4,0,Não compra
59,399000025,98178,265000.0,278277.0,3,0,Não compra
60,9368700031,98178,195000.0,278277.0,3,0,Não compra
61,1180500100,98178,353000.0,278277.0,3,0,Não compra
62,3991400080,98178,499900.0,278277.0,3,0,Não compra
63,3352402195,98178,169000.0,278277.0,3,0,Não compra
64,2328800130,98178,220000.0,278277.0,3,0,Não compra
65,9282801950,98178,279000.0,278277.0,3,0,Não compra
66,3348401319,98178,372500.0,278277.0,3,0,Não compra
67,8068000585,98178,235000.0,278277.0,5,0,Não compra
68,623059016,98178,1100000.0,278277.0,3,1,Não compra
69,7129300420,98178,258000.0,278277.0,5,0,Não compra
70,4060000440,98178,241000.0,278277.0,3,0,Não compra
71,185000161,98178,261000.0,278277.0,3,0,Não compra
72,7878400022,98178,390000.0,278277.0,3,0,Não compra
73,4141680190,98178,375000.0,278277.0,3,0,Não compra
74,3810000020,98178,352000.0,278277.0,3,0,Não compra
75,4058801310,98178,287000.0,278277.0,3,0,Não compra
76,8068000305,98178,241000.0,278277.0,3,0,Não compra
77,8067000020,98178,295000.0,278277.0,3,0,Não compra
78,4058801702,98178,800000.0,278277.0,3,0,Não compra
79,9368700006,98178,375000.0,278277.0,3,0,Não compra
80,1180008315,98178,212000.0,278277.0,5,0,Não compra
81,3810000480,98178,350000.0,278277.0,5,0,Não compra
82,4327600010,98178,336000.0,278277.0,3,0,Não compra
83,3878900185,98178,303100.0,278277.0,3,0,Não compra
84,8069000216,98178,356200.0,278277.0,5,0,Não compra
85,7657000225,98178,205000.0,278277.0,3,0,Não compra
86,4058200630,98178,353000.0,278277.0,4,0,Não compra
87,7130300170,98178,552000.0,278277.0,4,0,Não compra
88,6706200130,98178,343000.0,278277.0,3,0,Não compra
89,1823059106,98178,288250.0,278277.0,3,0,Não compra
90,3352400330,98178,216000.0,278277.0,3,0,Não compra
91,3810000455,98178,340000.0,278277.0,3,0,Não compra
